"cidr","hostmin","hostmax","vendor"
"99.82.175.0/24","99.82.175.0","99.82.175.255","AWS"
"99.82.176.0/21","99.82.176.0","99.82.183.255","AWS"
"99.82.184.0/22","99.82.184.0","99.82.187.255","AWS"
"99.82.188.0/22","99.82.188.0","99.82.191.255","AWS"
"99.83.64.0/21","99.83.64.0","99.83.71.255","AWS"
"99.83.97.48/28","99.83.97.48","99.83.97.63","AWS"
"99.83.97.64/27","99.83.97.64","99.83.97.95","AWS"
"99.83.98.0/24","99.83.98.0","99.83.98.255","AWS"
"99.83.128.0/17","99.83.128.0","99.83.255.255","AWS"
"99.84.0.0/16","99.84.0.0","99.84.255.255","AWS"
"99.86.0.0/16","99.86.0.0","99.86.255.255","AWS"
"99.87.0.0/22","99.87.0.0","99.87.3.255","AWS"
"100.20.0.0/14","100.20.0.0","100.23.255.255","AWS"
"100.24.0.0/13","100.24.0.0","100.31.255.255","AWS"
"103.4.8.0/21","103.4.8.0","103.4.15.255","AWS"
"103.8.172.0/22","103.8.172.0","103.8.175.255","AWS"
"103.246.148.0/23","103.246.148.0","103.246.149.255","AWS"
"103.246.150.0/23","103.246.150.0","103.246.151.255","AWS"
"107.20.0.0/14","107.20.0.0","107.23.255.255","AWS"
"107.23.255.0/26","107.23.255.0","107.23.255.63","AWS"
"108.128.0.0/13","108.128.0.0","108.135.255.255","AWS"
"108.128.160.0/23","108.128.160.0","108.128.161.255","AWS"
"108.128.162.0/24","108.128.162.0","108.128.162.255","AWS"
"108.136.0.0/15","108.136.0.0","108.137.255.255","AWS"
"108.166.224.0/21","108.166.224.0","108.166.231.255","AWS"
"108.166.232.0/21","108.166.232.0","108.166.239.255","AWS"
"108.166.240.0/21","108.166.240.0","108.166.247.255","AWS"
"108.166.248.0/21","108.166.248.0","108.166.255.255","AWS"
"108.175.48.0/22","108.175.48.0","108.175.51.255","AWS"
"108.175.52.0/22","108.175.52.0","108.175.55.255","AWS"
"108.175.56.0/22","108.175.56.0","108.175.59.255","AWS"
"111.51.66.0/24","111.51.66.0","111.51.66.255","AWS"
"116.129.226.0/25","116.129.226.0","116.129.226.127","AWS"
"116.129.226.128/26","116.129.226.128","116.129.226.191","AWS"
"118.193.97.64/26","118.193.97.64","118.193.97.127","AWS"
"118.193.97.128/25","118.193.97.128","118.193.97.255","AWS"
"119.147.182.0/25","119.147.182.0","119.147.182.127","AWS"
"119.147.182.128/26","119.147.182.128","119.147.182.191","AWS"
"120.52.12.64/26","120.52.12.64","120.52.12.127","AWS"
"120.52.22.96/27","120.52.22.96","120.52.22.127","AWS"
"120.52.39.128/27","120.52.39.128","120.52.39.159","AWS"
"120.52.153.192/26","120.52.153.192","120.52.153.255","AWS"
"120.232.236.0/25","120.232.236.0","120.232.236.127","AWS"
"120.232.236.128/26","120.232.236.128","120.232.236.191","AWS"
"120.253.240.192/26","120.253.240.192","120.253.240.255","AWS"
"120.253.241.160/27","120.253.241.160","120.253.241.191","AWS"
"120.253.245.128/26","120.253.245.128","120.253.245.191","AWS"
"120.253.245.192/27","120.253.245.192","120.253.245.223","AWS"
"122.248.192.0/18","122.248.192.0","122.248.255.255","AWS"
"130.137.180.0/23","130.137.180.0","130.137.181.255","AWS"
"130.176.0.0/16","130.176.0.0","130.176.255.255","AWS"
"140.179.0.0/16","140.179.0.0","140.179.255.255","AWS"
"143.204.0.0/16","143.204.0.0","143.204.255.255","AWS"
"144.220.0.0/16","144.220.0.0","144.220.255.255","AWS"
"150.222.2.0/24","150.222.2.0","150.222.2.255","AWS"
"150.222.3.176/32","150.222.3.176","150.222.3.176","AWS"
"150.222.3.177/32","150.222.3.177","150.222.3.177","AWS"
"150.222.3.178/32","150.222.3.178","150.222.3.178","AWS"
"150.222.3.179/32","150.222.3.179","150.222.3.179","AWS"
"150.222.5.0/24","150.222.5.0","150.222.5.255","AWS"
"150.222.6.0/24","150.222.6.0","150.222.6.255","AWS"
"150.222.7.0/24","150.222.7.0","150.222.7.255","AWS"
"150.222.10.0/24","150.222.10.0","150.222.10.255","AWS"
"150.222.11.0/31","150.222.11.0","150.222.11.1","AWS"
"150.222.12.0/24","150.222.12.0","150.222.12.255","AWS"
"150.222.13.0/24","150.222.13.0","150.222.13.255","AWS"
"150.222.14.72/31","150.222.14.72","150.222.14.73","AWS"
"150.222.66.0/24","150.222.66.0","150.222.66.255","AWS"
"150.222.67.0/24","150.222.67.0","150.222.67.255","AWS"
"150.222.69.0/24","150.222.69.0","150.222.69.255","AWS"
"150.222.70.0/24","150.222.70.0","150.222.70.255","AWS"
"150.222.71.0/24","150.222.71.0","150.222.71.255","AWS"
"150.222.72.0/24","150.222.72.0","150.222.72.255","AWS"
"150.222.73.0/24","150.222.73.0","150.222.73.255","AWS"
"150.222.74.0/24","150.222.74.0","150.222.74.255","AWS"
"150.222.75.0/24","150.222.75.0","150.222.75.255","AWS"
"150.222.76.0/24","150.222.76.0","150.222.76.255","AWS"
"150.222.77.0/24","150.222.77.0","150.222.77.255","AWS"
"150.222.78.0/24","150.222.78.0","150.222.78.255","AWS"
"150.222.79.0/24","150.222.79.0","150.222.79.255","AWS"
"150.222.80.0/24","150.222.80.0","150.222.80.255","AWS"
"150.222.81.0/24","150.222.81.0","150.222.81.255","AWS"
"150.222.82.0/24","150.222.82.0","150.222.82.255","AWS"
"150.222.83.0/24","150.222.83.0","150.222.83.255","AWS"
"150.222.84.0/24","150.222.84.0","150.222.84.255","AWS"
"150.222.85.0/24","150.222.85.0","150.222.85.255","AWS"
"150.222.87.0/24","150.222.87.0","150.222.87.255","AWS"
"150.222.88.0/24","150.222.88.0","150.222.88.255","AWS"
"150.222.89.0/24","150.222.89.0","150.222.89.255","AWS"
"150.222.90.0/24","150.222.90.0","150.222.90.255","AWS"
"150.222.91.0/24","150.222.91.0","150.222.91.255","AWS"
"150.222.92.0/22","150.222.92.0","150.222.95.255","AWS"
"150.222.96.0/24","150.222.96.0","150.222.96.255","AWS"
"150.222.97.0/24","150.222.97.0","150.222.97.255","AWS"
"150.222.98.0/24","150.222.98.0","150.222.98.255","AWS"
"150.222.99.0/24","150.222.99.0","150.222.99.255","AWS"
"150.222.100.0/24","150.222.100.0","150.222.100.255","AWS"
"150.222.101.0/24","150.222.101.0","150.222.101.255","AWS"
"150.222.102.0/24","150.222.102.0","150.222.102.255","AWS"
"150.222.104.0/24","150.222.104.0","150.222.104.255","AWS"
"150.222.105.0/24","150.222.105.0","150.222.105.255","AWS"
"150.222.106.0/24","150.222.106.0","150.222.106.255","AWS"
"150.222.108.0/24","150.222.108.0","150.222.108.255","AWS"
"150.222.109.0/24","150.222.109.0","150.222.109.255","AWS"
"150.222.110.0/24","150.222.110.0","150.222.110.255","AWS"
"150.222.112.0/24","150.222.112.0","150.222.112.255","AWS"
"150.222.114.0/24","150.222.114.0","150.222.114.255","AWS"
"150.222.115.0/24","150.222.115.0","150.222.115.255","AWS"
"150.222.116.0/24","150.222.116.0","150.222.116.255","AWS"
"150.222.117.0/24","150.222.117.0","150.222.117.255","AWS"
"150.222.118.0/24","150.222.118.0","150.222.118.255","AWS"
"150.222.119.0/24","150.222.119.0","150.222.119.255","AWS"
"150.222.120.20/31","150.222.120.20","150.222.120.21","AWS"
"150.222.120.62/31","150.222.120.62","150.222.120.63","AWS"
"150.222.120.224/31","150.222.120.224","150.222.120.225","AWS"
"150.222.120.226/31","150.222.120.226","150.222.120.227","AWS"
"150.222.120.228/31","150.222.120.228","150.222.120.229","AWS"
"150.222.120.230/31","150.222.120.230","150.222.120.231","AWS"
"150.222.120.232/31","150.222.120.232","150.222.120.233","AWS"
"150.222.120.234/31","150.222.120.234","150.222.120.235","AWS"
"150.222.120.240/31","150.222.120.240","150.222.120.241","AWS"
"150.222.120.242/31","150.222.120.242","150.222.120.243","AWS"
"150.222.120.244/31","150.222.120.244","150.222.120.245","AWS"
"150.222.120.246/31","150.222.120.246","150.222.120.247","AWS"
"150.222.120.248/31","150.222.120.248","150.222.120.249","AWS"
"150.222.120.250/31","150.222.120.250","150.222.120.251","AWS"
"150.222.120.252/32","150.222.120.252","150.222.120.252","AWS"
"150.222.120.255/32","150.222.120.255","150.222.120.255","AWS"
"150.222.121.0/24","150.222.121.0","150.222.121.255","AWS"
"150.222.122.92/31","150.222.122.92","150.222.122.93","AWS"
"150.222.122.94/31","150.222.122.94","150.222.122.95","AWS"
"150.222.122.96/31","150.222.122.96","150.222.122.97","AWS"
"150.222.122.98/31","150.222.122.98","150.222.122.99","AWS"
"150.222.122.100/31","150.222.122.100","150.222.122.101","AWS"
"150.222.122.102/31","150.222.122.102","150.222.122.103","AWS"
"150.222.122.104/31","150.222.122.104","150.222.122.105","AWS"
"150.222.122.106/31","150.222.122.106","150.222.122.107","AWS"
"150.222.122.108/31","150.222.122.108","150.222.122.109","AWS"
"150.222.122.110/31","150.222.122.110","150.222.122.111","AWS"
"150.222.122.112/31","150.222.122.112","150.222.122.113","AWS"
"150.222.122.114/31","150.222.122.114","150.222.122.115","AWS"
"150.222.122.116/31","150.222.122.116","150.222.122.117","AWS"
"150.222.129.112/31","150.222.129.112","150.222.129.113","AWS"
"150.222.129.114/31","150.222.129.114","150.222.129.115","AWS"
"150.222.129.116/31","150.222.129.116","150.222.129.117","AWS"
"150.222.129.118/31","150.222.129.118","150.222.129.119","AWS"
"150.222.129.120/31","150.222.129.120","150.222.129.121","AWS"
"150.222.129.122/31","150.222.129.122","150.222.129.123","AWS"
"150.222.129.124/31","150.222.129.124","150.222.129.125","AWS"
"150.222.129.126/31","150.222.129.126","150.222.129.127","AWS"
"150.222.129.128/31","150.222.129.128","150.222.129.129","AWS"
"150.222.129.130/31","150.222.129.130","150.222.129.131","AWS"
"150.222.129.132/31","150.222.129.132","150.222.129.133","AWS"
"150.222.129.134/31","150.222.129.134","150.222.129.135","AWS"
"150.222.129.136/31","150.222.129.136","150.222.129.137","AWS"
"150.222.129.138/31","150.222.129.138","150.222.129.139","AWS"
"150.222.129.140/31","150.222.129.140","150.222.129.141","AWS"
"150.222.133.0/24","150.222.133.0","150.222.133.255","AWS"
"150.222.134.0/24","150.222.134.0","150.222.134.255","AWS"
"150.222.135.0/24","150.222.135.0","150.222.135.255","AWS"
"150.222.136.0/24","150.222.136.0","150.222.136.255","AWS"
"150.222.138.0/24","150.222.138.0","150.222.138.255","AWS"
"150.222.140.0/24","150.222.140.0","150.222.140.255","AWS"
"150.222.141.0/24","150.222.141.0","150.222.141.255","AWS"
"150.222.142.0/24","150.222.142.0","150.222.142.255","AWS"
"150.222.143.0/24","150.222.143.0","150.222.143.255","AWS"
"150.222.176.0/22","150.222.176.0","150.222.179.255","AWS"
"150.222.180.0/24","150.222.180.0","150.222.180.255","AWS"
"150.222.196.0/24","150.222.196.0","150.222.196.255","AWS"
"150.222.199.0/25","150.222.199.0","150.222.199.127","AWS"
"150.222.202.0/24","150.222.202.0","150.222.202.255","AWS"
"150.222.203.0/24","150.222.203.0","150.222.203.255","AWS"
"150.222.204.0/24","150.222.204.0","150.222.204.255","AWS"
"150.222.205.0/24","150.222.205.0","150.222.205.255","AWS"
"150.222.206.0/24","150.222.206.0","150.222.206.255","AWS"
"150.222.207.0/24","150.222.207.0","150.222.207.255","AWS"
"150.222.208.64/32","150.222.208.64","150.222.208.64","AWS"
"150.222.208.65/32","150.222.208.65","150.222.208.65","AWS"
"150.222.208.66/31","150.222.208.66","150.222.208.67","AWS"
"150.222.208.68/31","150.222.208.68","150.222.208.69","AWS"
"150.222.208.70/31","150.222.208.70","150.222.208.71","AWS"
"150.222.208.72/31","150.222.208.72","150.222.208.73","AWS"
"150.222.208.74/31","150.222.208.74","150.222.208.75","AWS"
"150.222.208.76/31","150.222.208.76","150.222.208.77","AWS"
"150.222.208.78/31","150.222.208.78","150.222.208.79","AWS"
"150.222.208.80/31","150.222.208.80","150.222.208.81","AWS"
"150.222.208.82/31","150.222.208.82","150.222.208.83","AWS"
"150.222.208.84/31","150.222.208.84","150.222.208.85","AWS"
"150.222.208.86/31","150.222.208.86","150.222.208.87","AWS"
"150.222.208.88/31","150.222.208.88","150.222.208.89","AWS"
"150.222.208.90/31","150.222.208.90","150.222.208.91","AWS"
"150.222.208.92/31","150.222.208.92","150.222.208.93","AWS"
"150.222.208.94/31","150.222.208.94","150.222.208.95","AWS"
"150.222.208.96/31","150.222.208.96","150.222.208.97","AWS"
"150.222.210.0/24","150.222.210.0","150.222.210.255","AWS"
"150.222.213.40/32","150.222.213.40","150.222.213.40","AWS"
"150.222.213.41/32","150.222.213.41","150.222.213.41","AWS"
"150.222.214.0/24","150.222.214.0","150.222.214.255","AWS"
"150.222.215.0/24","150.222.215.0","150.222.215.255","AWS"
"150.222.218.0/24","150.222.218.0","150.222.218.255","AWS"
"150.222.219.0/24","150.222.219.0","150.222.219.255","AWS"
"150.222.220.0/24","150.222.220.0","150.222.220.255","AWS"
"150.222.221.0/24","150.222.221.0","150.222.221.255","AWS"
"150.222.222.0/24","150.222.222.0","150.222.222.255","AWS"
"150.222.223.0/24","150.222.223.0","150.222.223.255","AWS"
"150.222.224.0/24","150.222.224.0","150.222.224.255","AWS"
"150.222.226.0/24","150.222.226.0","150.222.226.255","AWS"
"150.222.227.0/24","150.222.227.0","150.222.227.255","AWS"
"150.222.228.0/24","150.222.228.0","150.222.228.255","AWS"
"150.222.229.0/24","150.222.229.0","150.222.229.255","AWS"
"150.222.233.0/24","150.222.233.0","150.222.233.255","AWS"
"150.222.234.0/24","150.222.234.0","150.222.234.255","AWS"
"150.222.235.0/24","150.222.235.0","150.222.235.255","AWS"
"150.222.236.0/24","150.222.236.0","150.222.236.255","AWS"
"150.222.237.0/24","150.222.237.0","150.222.237.255","AWS"
"150.222.239.0/24","150.222.239.0","150.222.239.255","AWS"
"150.222.240.131/32","150.222.240.131","150.222.240.131","AWS"
"150.222.240.135/32","150.222.240.135","150.222.240.135","AWS"
"150.222.240.137/32","150.222.240.137","150.222.240.137","AWS"
"150.222.240.161/32","150.222.240.161","150.222.240.161","AWS"
"150.222.240.207/32","150.222.240.207","150.222.240.207","AWS"
"150.222.240.237/32","150.222.240.237","150.222.240.237","AWS"
"150.222.240.239/32","150.222.240.239","150.222.240.239","AWS"
"150.222.240.245/32","150.222.240.245","150.222.240.245","AWS"
"150.222.240.247/32","150.222.240.247","150.222.240.247","AWS"
"150.222.240.249/32","150.222.240.249","150.222.240.249","AWS"
"150.222.240.251/32","150.222.240.251","150.222.240.251","AWS"
"150.222.242.84/31","150.222.242.84","150.222.242.85","AWS"
"150.222.242.97/32","150.222.242.97","150.222.242.97","AWS"
"150.222.242.99/32","150.222.242.99","150.222.242.99","AWS"
"150.222.242.214/31","150.222.242.214","150.222.242.215","AWS"
"150.222.242.227/32","150.222.242.227","150.222.242.227","AWS"
"150.222.242.229/32","150.222.242.229","150.222.242.229","AWS"
"150.222.242.231/32","150.222.242.231","150.222.242.231","AWS"
"150.222.242.233/32","150.222.242.233","150.222.242.233","AWS"
"150.222.243.9/32","150.222.243.9","150.222.243.9","AWS"
"150.222.243.11/32","150.222.243.11","150.222.243.11","AWS"
"150.222.243.13/32","150.222.243.13","150.222.243.13","AWS"
"150.222.243.15/32","150.222.243.15","150.222.243.15","AWS"
"150.222.243.17/32","150.222.243.17","150.222.243.17","AWS"
"150.222.243.19/32","150.222.243.19","150.222.243.19","AWS"
"150.222.243.33/32","150.222.243.33","150.222.243.33","AWS"
"150.222.243.35/32","150.222.243.35","150.222.243.35","AWS"
"150.222.243.37/32","150.222.243.37","150.222.243.37","AWS"
"150.222.243.39/32","150.222.243.39","150.222.243.39","AWS"
"150.222.243.41/32","150.222.243.41","150.222.243.41","AWS"
"150.222.243.43/32","150.222.243.43","150.222.243.43","AWS"
"150.222.243.45/32","150.222.243.45","150.222.243.45","AWS"
"150.222.243.47/32","150.222.243.47","150.222.243.47","AWS"
"150.222.243.51/32","150.222.243.51","150.222.243.51","AWS"
"150.222.243.53/32","150.222.243.53","150.222.243.53","AWS"
"150.222.243.55/32","150.222.243.55","150.222.243.55","AWS"
"150.222.243.57/32","150.222.243.57","150.222.243.57","AWS"
"150.222.243.59/32","150.222.243.59","150.222.243.59","AWS"
"150.222.243.177/32","150.222.243.177","150.222.243.177","AWS"
"150.222.244.35/32","150.222.244.35","150.222.244.35","AWS"
"150.222.244.37/32","150.222.244.37","150.222.244.37","AWS"
"150.222.245.122/31","150.222.245.122","150.222.245.123","AWS"
"157.175.0.0/16","157.175.0.0","157.175.255.255","AWS"
"160.1.0.0/16","160.1.0.0","160.1.255.255","AWS"
"161.189.0.0/16","161.189.0.0","161.189.255.255","AWS"
"162.213.232.0/24","162.213.232.0","162.213.232.255","AWS"
"162.213.233.0/24","162.213.233.0","162.213.233.255","AWS"
"162.213.234.0/23","162.213.234.0","162.213.235.255","AWS"
"162.250.236.0/24","162.250.236.0","162.250.236.255","AWS"
"162.250.237.0/24","162.250.237.0","162.250.237.255","AWS"
"162.250.238.0/23","162.250.238.0","162.250.239.255","AWS"
"172.96.97.0/24","172.96.97.0","172.96.97.255","AWS"
"172.96.98.0/24","172.96.98.0","172.96.98.255","AWS"
"174.129.0.0/16","174.129.0.0","174.129.255.255","AWS"
"175.41.128.0/18","175.41.128.0","175.41.191.255","AWS"
"175.41.192.0/18","175.41.192.0","175.41.255.255","AWS"
"176.32.64.0/19","176.32.64.0","176.32.95.255","AWS"
"176.32.96.0/21","176.32.96.0","176.32.103.255","AWS"
"176.32.104.0/21","176.32.104.0","176.32.111.255","AWS"
"176.32.112.0/21","176.32.112.0","176.32.119.255","AWS"
"176.32.120.0/22","176.32.120.0","176.32.123.255","AWS"
"176.32.124.128/25","176.32.124.128","176.32.124.255","AWS"
"176.32.125.0/25","176.32.125.0","176.32.125.127","AWS"
"176.32.125.128/26","176.32.125.128","176.32.125.191","AWS"
"176.32.125.192/27","176.32.125.192","176.32.125.223","AWS"
"176.32.125.224/31","176.32.125.224","176.32.125.225","AWS"
"176.32.125.226/31","176.32.125.226","176.32.125.227","AWS"
"176.32.125.228/31","176.32.125.228","176.32.125.229","AWS"
"176.32.125.230/31","176.32.125.230","176.32.125.231","AWS"
"176.32.125.232/31","176.32.125.232","176.32.125.233","AWS"
"176.32.125.234/31","176.32.125.234","176.32.125.235","AWS"
"176.32.125.236/31","176.32.125.236","176.32.125.237","AWS"
"176.32.125.238/31","176.32.125.238","176.32.125.239","AWS"
"176.32.125.240/31","176.32.125.240","176.32.125.241","AWS"
"176.32.125.242/31","176.32.125.242","176.32.125.243","AWS"
"176.32.125.244/31","176.32.125.244","176.32.125.245","AWS"
"176.32.125.246/31","176.32.125.246","176.32.125.247","AWS"
"176.32.125.248/31","176.32.125.248","176.32.125.249","AWS"
"176.32.125.250/31","176.32.125.250","176.32.125.251","AWS"
"176.32.125.252/31","176.32.125.252","176.32.125.253","AWS"
"176.32.125.254/31","176.32.125.254","176.32.125.255","AWS"
"176.34.0.0/19","176.34.0.0","176.34.31.255","AWS"
"176.34.32.0/19","176.34.32.0","176.34.63.255","AWS"
"176.34.64.0/18","176.34.64.0","176.34.127.255","AWS"
"176.34.128.0/17","176.34.128.0","176.34.255.255","AWS"
"176.34.159.192/26","176.34.159.192","176.34.159.255","AWS"
"177.71.128.0/17","177.71.128.0","177.71.255.255","AWS"
"177.71.207.128/26","177.71.207.128","177.71.207.191","AWS"
"177.72.240.0/21","177.72.240.0","177.72.247.255","AWS"
"178.236.0.0/20","178.236.0.0","178.236.15.255","AWS"
"180.163.57.0/25","180.163.57.0","180.163.57.127","AWS"
"180.163.57.128/26","180.163.57.128","180.163.57.191","AWS"
"184.72.0.0/18","184.72.0.0","184.72.63.255","AWS"
"184.72.64.0/18","184.72.64.0","184.72.127.255","AWS"
"184.72.128.0/17","184.72.128.0","184.72.255.255","AWS"
"184.73.0.0/16","184.73.0.0","184.73.255.255","AWS"
"184.169.128.0/17","184.169.128.0","184.169.255.255","AWS"
"185.48.120.0/22","185.48.120.0","185.48.123.255","AWS"
"185.143.16.0/24","185.143.16.0","185.143.16.255","AWS"
"199.127.232.0/22","199.127.232.0","199.127.235.255","AWS"
"203.83.220.0/22","203.83.220.0","203.83.223.255","AWS"
"204.236.128.0/18","204.236.128.0","204.236.191.255","AWS"
"204.236.192.0/18","204.236.192.0","204.236.255.255","AWS"
"204.246.160.0/22","204.246.160.0","204.246.163.255","AWS"
"204.246.164.0/22","204.246.164.0","204.246.167.255","AWS"
"204.246.168.0/22","204.246.168.0","204.246.171.255","AWS"
"204.246.172.0/24","204.246.172.0","204.246.172.255","AWS"
"204.246.173.0/24","204.246.173.0","204.246.173.255","AWS"
"204.246.174.0/23","204.246.174.0","204.246.175.255","AWS"
"204.246.176.0/20","204.246.176.0","204.246.191.255","AWS"
"205.251.192.0/21","205.251.192.0","205.251.199.255","AWS"
"205.251.200.0/21","205.251.200.0","205.251.207.255","AWS"
"205.251.208.0/20","205.251.208.0","205.251.223.255","AWS"
"205.251.224.0/22","205.251.224.0","205.251.227.255","AWS"
"205.251.228.0/22","205.251.228.0","205.251.231.255","AWS"
"205.251.232.0/22","205.251.232.0","205.251.235.255","AWS"
"205.251.236.0/22","205.251.236.0","205.251.239.255","AWS"
"205.251.240.0/22","205.251.240.0","205.251.243.255","AWS"
"205.251.244.0/23","205.251.244.0","205.251.245.255","AWS"
"205.251.246.0/24","205.251.246.0","205.251.246.255","AWS"
"205.251.247.0/24","205.251.247.0","205.251.247.255","AWS"
"205.251.248.0/24","205.251.248.0","205.251.248.255","AWS"
"205.251.249.0/24","205.251.249.0","205.251.249.255","AWS"
"205.251.250.0/23","205.251.250.0","205.251.251.255","AWS"
"205.251.252.0/23","205.251.252.0","205.251.253.255","AWS"
"205.251.254.0/24","205.251.254.0","205.251.254.255","AWS"
"207.171.160.0/20","207.171.160.0","207.171.175.255","AWS"
"207.171.176.0/20","207.171.176.0","207.171.191.255","AWS"
"208.86.88.0/23","208.86.88.0","208.86.89.255","AWS"
"208.86.90.0/23","208.86.90.0","208.86.91.255","AWS"
"210.51.40.0/24","210.51.40.0","210.51.40.255","AWS"
"216.137.32.0/19","216.137.32.0","216.137.63.255","AWS"
"216.182.224.0/21","216.182.224.0","216.182.231.255","AWS"
"216.182.232.0/22","216.182.232.0","216.182.235.255","AWS"
"216.182.236.0/23","216.182.236.0","216.182.237.255","AWS"
"216.182.238.0/23","216.182.238.0","216.182.239.255","AWS"
"223.71.11.0/27","223.71.11.0","223.71.11.31","AWS"
"223.71.71.96/27","223.71.71.96","223.71.71.127","AWS"
"223.71.71.128/25","223.71.71.128","223.71.71.255","AWS"
"103.21.244.0/22","103.21.244.0","103.21.247.255","CloudFlare"
"103.22.200.0/22","103.22.200.0","103.22.203.255","CloudFlare"
"103.31.4.0/22","103.31.4.0","103.31.7.255","CloudFlare"
"104.16.0.0/12","104.16.0.0","104.31.255.255","CloudFlare"
"108.162.192.0/18","108.162.192.0","108.162.255.255","CloudFlare"
"131.0.72.0/22","131.0.72.0","131.0.75.255","CloudFlare"
"141.101.64.0/18","141.101.64.0","141.101.127.255","CloudFlare"
"162.158.0.0/15","162.158.0.0","162.159.255.255","CloudFlare"
"172.64.0.0/13","172.64.0.0","172.71.255.255","CloudFlare"
"173.245.48.0/20","173.245.48.0","173.245.63.255","CloudFlare"
"188.114.96.0/20","188.114.96.0","188.114.111.255","CloudFlare"
"190.93.240.0/20","190.93.240.0","190.93.255.255","CloudFlare"
"197.234.240.0/22","197.234.240.0","197.234.243.255","CloudFlare"
"198.41.128.0/17","198.41.128.0","198.41.255.255","CloudFlare"
"8.34.208.0/23","8.34.208.0","8.34.209.255","GCP"
"8.34.210.0/24","8.34.210.0","8.34.210.255","GCP"
"8.34.211.0/24","8.34.211.0","8.34.211.255","GCP"
"8.34.212.0/22","8.34.212.0","8.34.215.255","GCP"
"8.34.216.0/22","8.34.216.0","8.34.219.255","GCP"
"8.34.220.0/22","8.34.220.0","8.34.223.255","GCP"
"8.35.192.0/21","8.35.192.0","8.35.199.255","GCP"
"23.236.48.0/20","23.236.48.0","23.236.63.255","GCP"
"23.251.128.0/20","23.251.128.0","23.251.143.255","GCP"
"23.251.144.0/20","23.251.144.0","23.251.159.255","GCP"
"34.64.64.0/22","34.64.64.0","34.64.67.255","GCP"
"34.64.68.0/22","34.64.68.0","34.64.71.255","GCP"
"34.64.72.0/21","34.64.72.0","34.64.79.255","GCP"
"34.64.80.0/20","34.64.80.0","34.64.95.255","GCP"
"34.64.96.0/19","34.64.96.0","34.64.127.255","GCP"
"34.64.128.0/22","34.64.128.0","34.64.131.255","GCP"
"34.64.132.0/22","34.64.132.0","34.64.135.255","GCP"
"34.64.136.0/21","34.64.136.0","34.64.143.255","GCP"
"34.64.144.0/20","34.64.144.0","34.64.159.255","GCP"
"34.64.160.0/19","34.64.160.0","34.64.191.255","GCP"
"34.64.192.0/18","34.64.192.0","34.64.255.255","GCP"
"34.65.0.0/16","34.65.0.0","34.65.255.255","GCP"
"34.66.0.0/15","34.66.0.0","34.67.255.255","GCP"
"34.68.0.0/14","34.68.0.0","34.71.255.255","GCP"
"34.72.0.0/16","34.72.0.0","34.72.255.255","GCP"
"34.73.0.0/16","34.73.0.0","34.73.255.255","GCP"
"34.74.0.0/15","34.74.0.0","34.75.255.255","GCP"
"34.76.0.0/14","34.76.0.0","34.79.255.255","GCP"
"34.80.0.0/15","34.80.0.0","34.81.255.255","GCP"
"34.82.0.0/15","34.82.0.0","34.83.255.255","GCP"
"34.84.0.0/16","34.84.0.0","34.84.255.255","GCP"
"34.85.0.0/17","34.85.0.0","34.85.127.255","GCP"
"34.85.128.0/17","34.85.128.0","34.85.255.255","GCP"
"34.86.0.0/16","34.86.0.0","34.86.255.255","GCP"
"34.87.0.0/17","34.87.0.0","34.87.127.255","GCP"
"34.87.128.0/18","34.87.128.0","34.87.191.255","GCP"
"34.87.192.0/18","34.87.192.0","34.87.255.255","GCP"
"34.88.0.0/16","34.88.0.0","34.88.255.255","GCP"
"34.89.0.0/17","34.89.0.0","34.89.127.255","GCP"
"34.89.128.0/17","34.89.128.0","34.89.255.255","GCP"
"34.90.0.0/15","34.90.0.0","34.91.255.255","GCP"
"34.92.0.0/16","34.92.0.0","34.92.255.255","GCP"
"34.93.0.0/16","34.93.0.0","34.93.255.255","GCP"
"34.94.0.0/16","34.94.0.0","34.94.255.255","GCP"
"34.95.0.0/18","34.95.0.0","34.95.63.255","GCP"
"34.95.64.0/18","34.95.64.0","34.95.127.255","GCP"
"34.95.128.0/17","34.95.128.0","34.95.255.255","GCP"
"34.96.64.0/18","34.96.64.0","34.96.127.255","GCP"
"34.96.128.0/17","34.96.128.0","34.96.255.255","GCP"
"34.97.0.0/16","34.97.0.0","34.97.255.255","GCP"
"34.98.64.0/18","34.98.64.0","34.98.127.255","GCP"
"34.98.128.0/21","34.98.128.0","34.98.135.255","GCP"
"34.100.128.0/17","34.100.128.0","34.100.255.255","GCP"
"34.101.20.0/22","34.101.20.0","34.101.23.255","GCP"
"34.101.24.0/22","34.101.24.0","34.101.27.255","GCP"
"34.101.64.0/18","34.101.64.0","34.101.127.255","GCP"
"34.101.128.0/17","34.101.128.0","34.101.255.255","GCP"
"34.102.0.0/17","34.102.0.0","34.102.127.255","GCP"
"34.102.128.0/17","34.102.128.0","34.102.255.255","GCP"
"34.104.64.0/21","34.104.64.0","34.104.71.255","GCP"
"34.104.72.0/22","34.104.72.0","34.104.75.255","GCP"
"34.104.76.0/22","34.104.76.0","34.104.79.255","GCP"
"34.104.80.0/21","34.104.80.0","34.104.87.255","GCP"
"34.104.88.0/21","34.104.88.0","34.104.95.255","GCP"
"34.104.96.0/21","34.104.96.0","34.104.103.255","GCP"
"34.104.104.0/23","34.104.104.0","34.104.105.255","GCP"
